time (s), lifter (1cm), left pedal pos (10cm), left slider pos (10cm), right pedal pos (10cm), right slider pos (10cm), stock left extend pos (10cm), stock left slider pos (10cm), stock right extend pos (10cm), stock right slider pos (10cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A),,, stock left extend pos (10cm), stock left slider pos (10cm),,
1.48,0.9,0,0.99,0,-0.48,1.1,1.73,0.11,-0.88,-0.204,-0.007,2.192,-0.052,0.181,0.348,-0.216,-0.009,0.042,,,11,17.3,,
1.49,1,0,0.92,0,-0.49,0.9,1.84,0.08,-1.03,-0.343,-0.007,2.182,-0.012,0.224,0.086,0.35,-0.021,0.036,,,9,18.4,,
1.5,1,0,0.92,0,-0.49,0.9,1.84,0.08,-1.03,-0.343,-0.007,2.182,-0.012,0.224,0.086,0.35,-0.021,0.036,,,9,18.4,,
1.51,1,0,0.75,0,-0.49,0.69,1.84,0.08,-1.03,-0.343,-0.007,2.182,-0.012,0.224,0.086,0.35,-0.021,0.036,,,6.9,18.4,,
1.52,1,0,0.75,0,-0.49,0.69,1.87,0.08,-1.03,-0.343,-0.007,2.182,-0.012,0.224,0.086,0.35,-0.021,0.036,,,6.9,18.7,,
1.53,1,0,0.75,0,-0.49,0.69,1.87,0.08,-1.03,-0.343,-0.007,2.182,-0.012,0.224,0.086,0.35,-0.021,0.036,,,6.9,18.7,,
1.54,1,0,0.75,0,-0.49,0.69,1.87,0.05,-1.21,-7.674,0.004,0.178,-0.012,-4.274,0.334,1.501,0.01,0.051,,,6.9,18.7,,
1.55,1,0,0.75,0,-0.49,0.69,1.87,0.05,-1.21,-7.674,0.004,0.178,-0.012,-4.274,0.334,1.501,0.01,0.051,,,6.9,18.7,,
1.56,1.9,0,0.39,0,-0.31,0.67,1.65,0.05,-1.24,-1.572,0.015,0.733,-0.024,-4.274,0.334,1.501,0.01,0.051,,,6.7,16.5,,
1.57,1.9,0,0.39,0,-0.31,0.67,1.65,0.05,-1.24,-1.572,0.015,0.733,-0.024,-0.091,0.316,1.57,0.019,-0.003,,,6.7,16.5,,
1.58,3.3,0,0.21,0,-0.31,0.67,1.65,0.05,-1.24,-1.572,0.015,0.733,-0.024,-0.091,0.316,1.57,0.019,-0.003,,,6.7,16.5,,
1.59,3.3,0,0.21,0,-0.02,0.6,1.26,0.09,-1.23,-0.583,0.004,-0.006,-0.001,-0.646,0.059,0.569,-4.044,-3.151,,,6,12.6,,
1.6,3.3,0,0.21,0,-0.02,0.6,1.26,0.09,-1.23,-0.583,0.004,-0.006,-0.001,-0.646,0.059,0.569,-4.044,-3.151,,,6,12.6,,
1.61,4.3,0,0.06,0,0.24,0.52,0.85,0.54,-0.92,0.098,0.015,0.314,0.027,-0.396,0.079,0.273,-4.044,-3.151,,,5.2,8.5,,
1.62,4.3,0,0.06,0,0.24,0.52,0.85,0.54,-0.92,0.098,0.015,0.314,0.027,-0.396,0.079,0.273,-0.76,-3.157,,,5.2,8.5,,
1.63,4.8,0,-0.07,0,0.47,0.44,0.85,0.54,-0.92,0.098,0.015,0.314,0.027,-0.396,0.079,0.273,-0.76,-3.157,,,4.4,8.5,,
1.64,4.8,0,-0.07,0,0.47,0.44,0.39,1,-0.17,7.003,-0.007,0.737,0.016,0.269,0.062,-0.093,0.328,-3.157,,,4.4,3.9,,
1.65,4.8,0,-0.07,0,0.47,0.44,0.39,1,-0.17,7.003,-0.007,0.737,0.016,0.269,0.062,-0.093,0.328,0.58,,,4.4,3.9,,
1.66,4.2,0,-0.21,0,0.69,0.36,0.07,1.22,0.34,1.465,0.015,0.531,0.016,0.269,0.062,-0.093,0.328,0.58,,,3.6,0.7,,
1.67,4.2,0,-0.21,0,0.69,0.36,0.07,1.22,0.34,1.465,0.015,0.531,-0.012,0.235,0.059,0.185,0.184,-0.336,,,3.6,0.7,,
1.68,3,0,-0.3,0,0.82,0.36,0.07,1.22,0.34,1.465,0.015,0.531,-0.012,0.235,0.059,0.185,0.184,-0.336,,,3.6,0.7,,
1.69,3,0,-0.3,0,0.82,0.3,-0.2,1.31,0.79,-1.146,-0.007,0.279,0.005,0.131,-0.021,-0.013,0.141,0.257,,,3,-2,,
1.7,3,0,-0.3,0,0.82,0.3,-0.2,1.31,0.79,-1.146,-0.007,0.279,0.005,0.131,-0.021,-0.013,0.141,0.257,,,3,-2,,
1.71,1.8,0,-0.38,0,0.93,0.24,-0.5,1.3,1.23,-0.848,-0.007,0.279,0.005,0.131,-0.021,-0.013,0.141,0.257,,,2.4,-5,,
1.72,1.8,0,-0.38,0,0.93,0.24,-0.5,1.3,1.23,-0.848,0.015,0.26,-0.001,0.17,0.092,0.105,0.259,0.508,,,2.4,-5,,
1.73,1.3,0,-0.44,0,0.93,0.24,-0.5,1.3,1.23,-0.848,0.015,0.26,-0.001,0.17,0.092,0.105,0.259,0.508,,,2.4,-5,,
1.74,1.3,0,-0.44,0,0.98,0.19,-0.71,1.23,1.51,-1.285,0.026,0.233,-0.007,0.227,0.087,0.154,0.305,-0.054,,,1.9,-7.1,,
1.75,1.3,0,-0.44,0,0.98,0.19,-0.71,1.23,1.51,-1.285,0.026,0.233,-0.007,0.227,0.087,0.154,0.305,-0.054,,,1.9,-7.1,,
1.76,1.1,0,-0.47,0,0.99,0.15,-0.91,1.1,1.72,0.249,-0.007,0.434,-0.007,0.227,0.087,0.154,0.305,-0.054,,,1.5,-9.1,,
1.77,1.1,0,-0.47,0,0.99,0.15,-0.91,1.1,1.72,0.249,-0.007,0.434,0.005,2.186,0.139,0.087,0.381,-0.098,,,1.5,-9.1,,
1.78,1.1,0,-0.49,0,0.99,0.15,-0.91,1.1,1.72,0.249,-0.007,0.434,0.005,2.186,0.139,0.087,0.381,-0.098,,,1.5,-9.1,,
1.79,1.1,0,-0.49,0,0.92,0.11,-1.05,0.9,1.84,0.018,-0.007,0.293,-0.063,2.125,0.044,-0.032,0.233,-0.027,,,1.1,-10.5,,
1.8,1.1,0,-0.49,0,0.92,0.11,-1.05,0.9,1.84,0.018,-0.007,0.293,-0.063,2.125,0.044,-0.032,0.233,-0.027,,,1.1,-10.5,,
1.81,1.2,0,-0.49,0,0.76,0.09,-1.16,0.69,1.86,0.018,-0.007,0.293,-0.063,2.125,0.044,-0.032,0.233,-0.027,,,0.9,-11.6,,
1.82,1.2,0,-0.49,0,0.76,0.09,-1.16,0.69,1.86,-8.73,-0.007,0.293,-0.063,2.125,0.044,-0.032,0.233,-0.027,,,0.9,-11.6,,
1.83,1.2,0,-0.49,0,0.76,0.09,-1.16,0.69,1.86,-8.73,-0.007,-5.055,-0.063,2.125,0.044,-0.032,0.233,-0.027,,,0.9,-11.6,,
1.84,1.2,0,-0.49,0,0.76,0.09,-1.16,0.69,1.86,-8.73,-0.007,-5.055,-0.007,0.789,0.1,0.061,0.17,1.482,,,0.9,-11.6,,
1.85,1.2,0,-0.49,0,0.76,0.09,-1.16,0.69,1.86,-8.73,-0.007,-5.055,-0.007,0.789,0.1,0.061,0.17,1.482,,,0.9,-11.6,,
1.86,2.9,0,-0.31,0,0.39,0.07,-1.24,0.67,1.76,0.835,0.015,-1.281,-0.029,0.068,0.03,0.061,0.17,1.482,,,0.7,-12.4,,
1.87,2.9,0,-0.31,0,0.39,0.07,-1.24,0.67,1.76,0.835,0.015,-1.281,-0.029,0.068,0.03,0.212,0.256,1.427,,,0.7,-12.4,,
1.88,4.1,0,-0.02,0,0.21,0.1,-1.24,0.67,1.76,0.835,0.015,-1.281,-0.029,0.068,0.03,0.212,0.256,1.427,,,1,-12.4,,
1.89,4.1,0,-0.02,0,0.21,0.1,-1.24,0.6,1.45,0.979,-0.007,-0.032,-0.018,0.718,-4.18,-3.377,0.043,0.283,,,1,-12.4,,
1.9,4.1,0,-0.02,0,0.21,0.1,-1.24,0.6,1.45,0.979,-0.007,-0.032,-0.018,0.718,-4.18,-3.377,0.043,0.283,,,1,-12.4,,
1.91,4.9,0,0.25,0,0.05,0.55,-0.91,0.52,1.01,0.415,0.004,-0.199,-0.024,0.439,-4.18,-3.377,0.043,0.283,,,5.5,-9.1,,
1.92,4.9,0,0.25,0,0.05,0.55,-0.91,0.52,1.01,0.415,0.004,-0.199,-0.024,0.439,0.82,-2.348,0.041,-0.112,,,5.5,-9.1,,
1.93,5.1,0,0.25,0,0.05,0.55,-0.91,0.52,1.01,0.415,0.004,-0.199,-0.024,0.439,0.82,-2.348,0.041,-0.112,,,5.5,-9.1,,
1.94,5.1,0,0.51,0,-0.11,1.03,-0.14,0.42,0.52,6.761,0.004,-0.291,0.005,1.68,0.82,-2.348,0.041,-0.112,,,10.3,-1.4,,
1.95,5.1,0,0.51,0,-0.11,1.03,-0.14,0.42,0.52,6.761,0.004,-0.291,0.005,1.68,0.128,-0.097,-0.088,0.067,,,10.3,-1.4,,
1.96,4.2,0,0.71,0,-0.22,1.26,-0.14,0.42,0.52,6.761,0.004,-0.291,0.005,1.68,0.128,-0.097,-0.088,0.067,,,12.6,-1.4,,
1.97,4.2,0,0.71,0,-0.22,1.26,0.4,0.35,0.17,0.056,0.004,0.395,-0.018,1.56,0.353,0.786,-0.01,-0.063,,,12.6,4,,
1.98,4.2,0,0.71,0,-0.22,1.26,0.4,0.35,0.17,0.056,0.004,0.395,-0.018,1.56,0.353,0.786,-0.01,-0.063,,,12.6,4,,
1.99,2.9,0,0.85,0,-0.31,1.34,0.87,0.29,-0.14,-0.548,0.004,0.352,0.066,1.56,0.353,0.786,-0.01,-0.063,,,13.4,8.7,,
2,2.9,0,0.85,0,-0.31,1.34,0.87,0.29,-0.14,-0.548,0.004,0.352,0.066,0.003,-0.061,-0.044,-0.04,0.027,,,13.4,8.7,,
2.01,1.9,0,0.85,0,-0.31,1.34,0.87,0.29,-0.14,-0.548,0.004,0.352,0.066,0.003,-0.061,-0.044,-0.04,0.027,,,13.4,8.7,,
2.02,1.9,0,0.95,0,-0.4,1.32,1.28,0.22,-0.44,-1.229,-0.017,0.151,-0.029,0.37,0.357,0.193,0.032,-0.045,,,13.2,12.8,,
2.03,1.9,0,0.95,0,-0.4,1.32,1.28,0.22,-0.44,-1.229,-0.017,0.151,-0.029,0.37,0.357,0.193,0.032,-0.045,,,13.2,12.8,,
2.04,1.5,0,0.99,0,-0.44,1.25,1.54,0.18,-0.66,-1.111,-0.007,0.273,-0.035,0.231,0.51,-0.16,0.032,-0.045,,,12.5,15.4,,
2.05,1.5,0,0.99,0,-0.44,1.25,1.54,0.18,-0.66,-1.111,-0.007,0.273,-0.035,0.231,0.51,-0.16,-0.024,-0.043,,,12.5,15.4,,
2.06,1.4,0,0.99,0,-0.48,1.12,1.73,0.14,-0.84,0.072,-0.007,0.273,-0.035,0.231,0.51,-0.16,-0.024,-0.043,,,11.2,17.3,,
2.07,1.4,0,0.99,0,-0.48,1.12,1.73,0.14,-0.84,0.072,-0.007,2.276,-0.007,0.47,0.351,-0.144,-0.065,-0.001,,,11.2,17.3,,
2.08,1.5,0,0.99,0,-0.48,1.12,1.73,0.14,-0.84,0.072,-0.007,2.276,-0.007,0.47,0.351,-0.144,-0.065,-0.001,,,11.2,17.3,,
2.09,1.5,0,0.92,0,-0.49,0.92,1.84,0.11,-1,-0.048,-0.007,2.035,-0.018,0.143,0.324,0.464,-0.044,-0.012,,,9.2,18.4,,
2.1,1.5,0,0.92,0,-0.49,0.92,1.84,0.11,-1,-0.048,-0.007,2.035,-0.018,0.143,0.324,0.464,-0.044,-0.012,,,9.2,18.4,,
2.11,1.4,0,0.75,0,-0.49,0.71,1.84,0.11,-1,-0.048,-0.007,2.035,-0.018,0.143,0.324,0.464,-0.044,-0.012,,,7.1,18.4,,
2.12,1.4,0,0.75,0,-0.49,0.71,1.87,0.08,-1,-0.048,-0.007,2.035,-0.018,0.143,0.324,0.464,-0.044,-0.012,,,7.1,18.7,,
2.13,1.4,0,0.75,0,-0.49,0.71,1.87,0.08,-1.18,-0.048,-0.007,2.035,-0.018,0.143,0.324,0.464,-0.044,-0.012,,,7.1,18.7,,
2.14,1.4,0,0.75,0,-0.49,0.71,1.87,0.08,-1.18,-7.879,-0.007,0.416,-0.052,-4.348,0.364,1.262,-0.039,0.17,,,7.1,18.7,,
2.15,1.4,0,0.75,0,-0.49,0.71,1.87,0.08,-1.18,-7.879,-0.007,0.416,-0.052,-4.348,0.364,1.262,-0.039,0.17,,,7.1,18.7,,
2.16,3.2,0,0.4,0,-0.32,0.69,1.76,0.07,-1.24,0.185,-0.007,0.801,-0.018,0.02,0.335,1.262,-0.039,0.17,,,6.9,17.6,,
2.17,3.2,0,0.4,0,-0.32,0.69,1.76,0.07,-1.24,0.185,-0.007,0.801,-0.018,0.02,0.335,1.283,-0.174,0.071,,,6.9,17.6,,
2.18,4.5,0,0.2,0,-0.32,0.69,1.76,0.07,-1.24,0.185,-0.007,0.801,-0.018,0.02,0.335,1.283,-0.174,0.071,,,6.9,17.6,,
2.19,4.5,0,0.2,0,-0.01,0.62,1.42,0.12,-1.23,1.517,-0.007,0.083,-0.029,-0.838,0.101,0.195,-4.263,-3.16,,,6.2,14.2,,
2.2,4.5,0,0.2,0,-0.01,0.62,1.42,0.12,-1.23,1.517,-0.007,0.083,-0.029,-0.838,0.101,0.195,-4.263,-3.16,,,6.2,14.2,,
2.21,5.2,0,0.04,0,0.27,0.53,0.98,0.59,-0.88,0.877,-0.007,0.083,-0.029,-0.838,0.101,0.195,-4.263,-3.16,,,5.3,9.8,,
2.22,5.2,0,0.04,0,0.27,0.53,0.98,0.59,-0.88,0.877,-0.007,0.671,-0.035,0.27,0.104,-0.351,0.848,-2.136,,,5.3,9.8,,
2.23,5.2,0,0.04,0,0.27,0.53,0.98,0.59,-0.88,0.877,-0.007,0.671,-0.035,0.27,0.104,-0.351,0.848,-2.136,,,5.3,9.8,,
2.24,5.4,0,-0.11,0,0.54,0.44,0.5,1.05,-0.13,6.918,0.004,0.324,-0.035,0.27,0.104,-0.351,0.848,-2.136,,,4.4,5,,
2.25,5.4,0,-0.11,0,0.54,0.44,0.5,1.05,-0.13,6.918,0.004,0.324,0.005,0.206,0.078,0.221,0.356,-0.284,,,4.4,5,,
2.26,4.4,0,-0.23,0,0.54,0.44,0.5,1.05,-0.13,6.918,0.004,0.324,0.005,0.206,0.078,0.221,0.356,-0.284,,,4.4,5,,
2.27,4.4,0,-0.23,0,0.72,0.37,0.15,1.27,0.42,1.757,-0.007,0.194,0.01,0.048,0.068,-0.192,0.208,0.776,,,3.7,1.5,,
2.28,4.4,0,-0.23,0,0.72,0.37,0.15,1.27,0.42,1.757,-0.007,0.194,0.01,0.048,0.068,-0.192,0.208,0.776,,,3.7,1.5,,
2.29,3.1,0,-0.32,0,0.85,0.31,-0.15,1.34,0.87,-1.983,0.004,0.358,0.01,0.048,0.068,-0.192,0.208,0.776,,,3.1,-1.5,,
2.3,3.1,0,-0.32,0,0.85,0.31,-0.15,1.34,0.87,-1.983,0.004,0.358,-0.024,0.306,-0.026,-0.092,0.223,0.046,,,3.1,-1.5,,
2.31,3.1,0,-0.32,0,0.85,0.31,-0.15,1.34,0.87,-1.983,0.004,0.358,-0.024,0.306,-0.026,-0.092,0.223,0.046,,,3.1,-1.5,,
2.32,2.1,0,-0.4,0,0.95,0.25,-0.46,1.32,1.3,-1.26,-0.007,0.254,-0.029,0.162,0.041,0.078,0.304,0.25,,,2.5,-4.6,,
2.33,2.1,0,-0.4,0,0.95,0.25,-0.46,1.32,1.3,-1.26,-0.007,0.254,-0.029,0.162,0.041,0.078,0.304,0.25,,,2.5,-4.6,,
2.34,1.7,0,-0.45,0,0.99,0.2,-0.68,1.24,1.56,-0.96,0.004,0.254,-0.029,0.162,0.041,0.078,0.304,0.25,,,2,-6.8,,
2.35,1.7,0,-0.45,0,0.99,0.2,-0.68,1.24,1.56,-0.96,0.004,0.416,-0.035,0.311,0.001,0.133,0.292,-0.058,,,2,-6.8,,
2.36,1.6,0,-0.48,0,0.99,0.17,-0.68,1.24,1.56,-0.96,0.004,0.416,-0.035,0.311,0.001,0.133,0.292,-0.058,,,1.7,-6.8,,
2.37,1.6,0,-0.48,0,0.99,0.17,-0.86,1.1,1.73,0.232,-0.007,0.465,-0.018,2.076,0.055,-0.054,0.415,-0.256,,,1.7,-8.6,,
2.38,1.6,0,-0.48,0,0.99,0.17,-0.86,1.1,1.73,0.232,-0.007,0.465,-0.018,2.076,0.055,-0.054,0.415,-0.256,,,1.7,-8.6,,
2.39,1.7,0,-0.49,0,0.92,0.14,-1,0.92,1.84,-0.005,0.004,0.313,0.01,2.584,0.101,-0.114,0.021,0.006,,,1.4,-10,,
2.4,1.7,0,-0.49,0,0.92,0.14,-1,0.92,1.84,-0.005,0.004,0.313,0.01,2.584,0.101,-0.114,0.021,0.006,,,1.4,-10,,
2.41,1.7,0,-0.49,0,0.77,0.12,-1.11,0.71,1.86,-0.063,-0.007,0.661,-0.046,2.584,0.101,-0.114,0.021,0.006,,,1.2,-11.1,,
2.42,1.7,0,-0.49,0,0.77,0.12,-1.11,0.71,1.86,-0.063,-0.007,0.661,-0.046,0.165,0.034,-0.114,0.021,0.006,,,1.2,-11.1,,
2.43,1.7,0,-0.49,0,0.77,0.12,-1.11,0.71,1.86,-0.063,-0.007,0.661,-0.046,0.165,0.034,0.077,0.021,0.006,,,1.2,-11.1,,
2.44,1.7,0,-0.49,0,0.77,0.12,-1.11,0.71,1.86,-0.063,-0.007,0.661,-0.046,0.165,0.034,0.077,0.129,1.649,,,1.2,-11.1,,
2.45,1.7,0,-0.49,0,0.77,0.12,-1.11,0.71,1.86,-0.063,-0.007,0.661,-0.046,0.165,0.034,0.077,0.129,1.649,,,1.2,-11.1,,
2.46,3.4,0,-0.42,0,0.4,0.1,-1.24,0.68,1.74,1.698,-0.017,-4.709,-0.041,-0.015,0.08,0.121,0.204,1.649,,,1,-12.4,,
2.47,3.4,0,-0.42,0,0.4,0.1,-1.24,0.68,1.74,1.698,-0.017,-4.709,-0.041,-0.015,0.08,0.121,0.204,1.592,,,1,-12.4,,
2.48,3.4,0,-0.42,0,0.4,0.1,-1.24,0.68,1.74,1.698,-0.017,-4.709,-0.041,-0.015,0.08,0.121,0.204,1.592,,,1,-12.4,,
2.49,4.8,0,-0.1,0,0.19,0.13,-1.24,0.6,1.33,0.055,0.015,-0.532,-0.041,0.702,-4.14,-3.332,0.025,1.592,,,1.3,-12.4,,
2.5,4.8,0,-0.1,0,0.19,0.13,-1.24,0.6,1.33,0.055,0.015,-0.532,-0.041,0.702,-4.14,-3.332,0.025,0.295,,,1.3,-12.4,,
2.51,5.5,0,0.18,0,0.03,0.59,-0.9,0.52,1.33,0.055,0.015,-0.532,-0.041,0.702,-4.14,-3.332,0.025,0.295,,,5.9,-9,,
2.52,5.5,0,0.18,0,0.03,0.59,-0.9,0.52,0.89,0.853,-0.007,-0.303,-0.046,1.064,0.083,-2.859,-0.013,0.256,,,5.9,-9,,
2.53,5.5,0,0.18,0,0.03,0.59,-0.9,0.52,0.89,0.853,-0.007,-0.303,-0.046,1.064,0.083,-2.859,-0.013,0.256,,,5.9,-9,,
2.54,5.7,0,0.48,0,-0.13,1.08,-0.9,0.52,0.89,0.853,-0.007,-0.303,-0.046,1.064,0.083,-2.859,-0.013,0.256,,,10.8,-9,,
2.55,5.7,0,0.48,0,-0.13,1.08,-0.12,0.42,0.41,6.628,0.004,0.2,-0.024,1.54,0.161,-0.897,-0.002,-0.108,,,10.8,-1.2,,
2.56,5.7,0,0.48,0,-0.13,1.08,-0.12,0.42,0.41,6.628,0.004,0.2,-0.024,1.54,0.161,-0.897,-0.002,-0.108,,,10.8,-1.2,,
2.57,4.7,0,0.67,0,-0.23,1.29,0.42,0.35,0.07,-1.017,0.015,0.047,-0.024,2.562,0.277,0.715,-0.049,-0.108,,,12.9,4.2,,
2.58,4.7,0,0.67,0,-0.23,1.29,0.42,0.35,0.07,-1.017,0.015,0.047,-0.024,2.562,0.277,0.715,-0.049,0.16,,,12.9,4.2,,
2.59,3.3,0,0.82,0,-0.33,1.36,0.9,0.29,0.07,-1.017,0.015,0.047,-0.024,2.562,0.277,0.715,-0.049,0.16,,,13.6,9,,
2.6,3.3,0,0.82,0,-0.33,1.36,0.9,0.29,-0.25,-1.883,-0.007,0.245,0.005,0.069,0.291,0.565,-0.028,0.16,,,13.6,9,,
2.61,3.3,0,0.82,0,-0.33,1.36,0.9,0.29,-0.25,-1.883,-0.007,0.245,0.005,0.069,0.291,0.565,-0.028,0.245,,,13.6,9,,
2.62,2.3,0,0.94,0,-0.41,1.34,1.33,0.23,-0.54,-1.883,-0.007,0.245,0.005,0.069,0.291,0.565,-0.028,0.245,,,13.4,13.3,,
2.63,2.3,0,0.94,0,-0.41,1.34,1.33,0.23,-0.54,-0.98,0.015,0.213,-0.007,0.224,0.313,0.016,-0.138,0.222,,,13.4,13.3,,
2.64,2,0,0.94,0,-0.41,1.34,1.33,0.23,-0.54,-0.98,0.015,0.213,-0.007,0.224,0.313,0.016,-0.138,0.222,,,13.4,13.3,,
2.65,2,0,0.98,0,-0.46,1.25,1.59,0.19,-0.75,-1.203,-0.007,-0.058,-0.024,0.311,0.345,-0.089,-0.007,0.101,,,12.5,15.9,,
2.66,2,0,0.98,0,-0.46,1.25,1.59,0.19,-0.75,-1.203,-0.007,-0.058,-0.024,0.311,0.345,-0.089,-0.007,0.101,,,12.5,15.9,,
2.67,1.9,0,0.98,0,-0.49,1.25,1.59,0.19,-0.75,-1.203,-0.007,-0.058,-0.024,0.311,0.345,-0.089,-0.007,0.101,,,12.5,15.9,,
2.68,1.9,0,0.98,0,-0.49,1.07,1.78,0.15,-0.95,-0.086,-0.007,3.039,-0.018,0.404,0.439,0.299,-0.121,0.074,,,10.7,17.8,,
2.69,1.9,0,0.98,0,-0.49,1.07,1.78,0.15,-0.95,-0.086,-0.007,3.039,-0.018,0.404,0.439,0.299,-0.121,0.074,,,10.7,17.8,,
2.7,2,0,0.87,0,-0.49,0.85,1.86,0.12,-1.09,-0.166,0.004,3.117,-0.035,0.528,0.22,0.299,-0.121,0.074,,,8.5,18.6,,
2.71,2,0,0.87,0,-0.49,0.85,1.86,0.12,-1.09,-0.166,0.004,3.117,-0.035,0.528,0.22,0.481,-0.002,0.196,,,8.5,18.6,,
2.72,2,0,0.87,0,-0.49,0.85,1.86,0.12,-1.09,-0.166,0.004,3.117,-0.035,0.528,0.22,0.481,-0.002,0.196,,,8.5,18.6,,
2.73,2,0,0.61,0,-0.49,0.74,1.85,0.12,-1.09,-0.166,0.004,3.117,-0.035,0.528,0.22,0.481,-0.002,0.196,,,7.4,18.5,,
2.74,2,0,0.61,0,-0.49,0.74,1.85,0.1,-1.2,-1.443,-0.007,0.928,-0.012,-4.205,0.34,1.356,-0.086,0.027,,,7.4,18.5,,
2.75,2,0,0.61,0,-0.49,0.74,1.85,0.1,-1.2,-1.443,-0.007,0.928,-0.012,-4.205,0.34,1.356,-0.086,0.027,,,7.4,18.5,,
2.76,3.7,0,0.44,0,-0.38,0.72,1.7,0.1,-1.24,0.311,0.015,0.139,-0.052,-4.405,0.295,1.527,-0.002,0.06,,,7.2,17,,
2.77,3.7,0,0.44,0,-0.38,0.72,1.7,0.1,-1.24,0.311,0.015,0.139,-0.052,-4.405,0.295,1.527,-0.002,0.06,,,7.2,17,,
2.78,5,0,0.44,0,-0.38,0.72,1.7,0.1,-1.24,0.311,0.015,0.139,-0.052,-4.405,0.295,1.527,-0.002,0.06,,,7.2,17,,
2.79,5,0,0.21,0,-0.03,0.63,1.24,0.15,-1.23,1.217,-0.007,0.024,-0.018,-0.72,0.163,0.326,-4.605,0.06,,,6.3,12.4,,
2.8,5,0,0.21,0,-0.03,0.63,1.24,0.15,-1.23,1.217,-0.007,0.024,-0.018,-0.72,0.163,0.326,-4.605,-3.252,,,6.3,12.4,,
2.81,5.8,0,0.05,0,0.25,0.55,0.8,0.15,-1.23,1.217,-0.007,0.024,-0.018,-0.72,0.163,0.326,-4.605,-3.252,,,5.5,8,,
2.82,5.8,0,0.05,0,0.25,0.55,0.8,0.62,-0.89,0.592,0.004,0.454,0.01,-0.112,0.158,-0.172,1.382,-3.166,,,5.5,8,,
2.83,5.8,0,0.05,0,0.25,0.55,0.8,0.62,-0.89,0.592,0.004,0.454,0.01,-0.112,0.158,-0.172,1.382,-3.166,,,5.5,8,,
2.84,5.9,0,-0.11,0,0.53,0.45,0.8,0.62,-0.89,0.592,0.004,0.454,0.01,-0.112,0.158,-0.172,1.382,-3.166,,,4.5,8,,
2.85,5.9,0,-0.11,0,0.53,0.45,0.33,1.1,-0.11,6.922,0.004,0.326,-0.007,0.252,0.039,0.063,-0.185,-0.383,,,4.5,3.3,,
2.86,5.9,0,-0.11,0,0.53,0.45,0.33,1.1,-0.11,6.922,0.004,0.326,-0.007,0.252,0.039,0.063,-0.185,-0.383,,,4.5,3.3,,
2.87,4.8,0,-0.23,0,0.71,0.38,-0.01,1.31,0.45,1.354,-0.007,0.149,-0.024,0.132,0.039,0.063,-0.185,-0.383,,,3.8,-0.1,,
2.88,4.8,0,-0.23,0,0.71,0.38,-0.01,1.31,0.45,1.354,-0.007,0.149,-0.024,0.132,0.059,-0.048,0.261,0.417,,,3.8,-0.1,,
2.89,3.5,0,-0.32,0,0.85,0.38,-0.01,1.31,0.45,1.354,-0.007,0.149,-0.024,0.132,0.059,-0.048,0.261,0.417,,,3.8,-0.1,,
2.9,3.5,0,-0.32,0,0.85,0.31,-0.36,1.36,1,-0.645,-0.007,0.649,-0.029,0.171,0.059,-0.048,0.261,0.417,,,3.1,-3.6,,
2.91,3.5,0,-0.32,0,0.85,0.31,-0.36,1.36,1,-0.645,-0.007,0.649,-0.029,0.171,0.072,0.086,0.388,0.464,,,3.1,-3.6,,
2.92,2.5,0,-0.41,0,0.96,0.31,-0.36,1.36,1,-0.645,-0.007,0.649,-0.029,0.171,0.072,0.086,0.388,0.464,,,3.1,-3.6,,
2.93,2.5,0,-0.41,0,0.96,0.25,-0.61,1.33,1.36,-1.355,0.004,0.197,-0.052,0.305,0.162,0.003,0.362,0.258,,,2.5,-6.1,,
2.94,2.5,0,-0.41,0,0.96,0.25,-0.61,1.33,1.36,-1.355,0.004,0.197,-0.052,0.305,0.162,0.003,0.362,0.258,,,2.5,-6.1,,
2.95,2.2,0,-0.46,0,0.99,0.21,-0.82,1.23,1.61,-0.823,0.004,0.474,-0.029,0.355,0.162,0.003,0.362,0.258,,,2.1,-8.2,,
2.96,2.2,0,-0.46,0,0.99,0.21,-0.82,1.23,1.61,-0.823,0.004,0.474,-0.029,0.355,0.038,0.057,0.395,0.001,,,2.1,-8.2,,
2.97,2.2,0,-0.46,0,0.99,0.21,-0.82,1.23,1.61,-0.823,0.004,0.474,-0.029,0.355,0.038,0.057,0.395,0.001,,,2.1,-8.2,,
